Date,Date,Date
02/24/2012,02/24/2012,424
02/24/2013,02/24/2013,379
02/24/2014,02/24/2014,373
02/24/2015,02/24/2015,436
02/24/2016,02/24/2016,413
02/24/2017,02/24/2017,393
02/24/2018,02/24/2018,4
02/25/2003,02/25/2003,439
02/25/2004,02/25/2004,370
02/25/2005,02/25/2005,444
02/25/2006,02/25/2006,387
02/25/2007,02/25/2007,285
02/25/2008,02/25/2008,435
02/25/2009,02/25/2009,411
02/25/2010,02/25/2010,369
02/25/2011,02/25/2011,352
02/25/2012,02/25/2012,424
02/25/2013,02/25/2013,414
02/25/2014,02/25/2014,389
02/25/2015,02/25/2015,456
02/25/2016,02/25/2016,393
02/25/2017,02/25/2017,454
02/25/2018,02/25/2018,8
02/26/2003,02/26/2003,491
02/26/2004,02/26/2004,389
02/26/2005,02/26/2005,368
02/26/2006,02/26/2006,341
02/26/2007,02/26/2007,340
02/26/2008,02/26/2008,390
02/26/2009,02/26/2009,386
02/26/2010,02/26/2010,383
02/26/2011,02/26/2011,400
02/26/2012,02/26/2012,324
02/26/2013,02/26/2013,376
02/26/2014,02/26/2014,382
02/26/2015,02/26/2015,445
02/26/2016,02/26/2016,377
02/26/2017,02/26/2017,408
02/26/2018,02/26/2018,10
02/27/2003,02/27/2003,443
02/27/2004,02/27/2004,459
02/27/2005,02/27/2005,288
02/27/2006,02/27/2006,334
02/27/2007,02/27/2007,331
02/27/2008,02/27/2008,428
02/27/2009,02/27/2009,424
02/27/2010,02/27/2010,330
02/27/2011,02/27/2011,307
02/27/2012,02/27/2012,373
02/27/2013,02/27/2013,424
02/27/2014,02/27/2014,422
02/27/2015,02/27/2015,441
02/27/2016,02/27/2016,419
02/27/2017,02/27/2017,437
02/27/2018,02/27/2018,8
02/28/2003,02/28/2003,454
02/28/2004,02/28/2004,405
02/28/2005,02/28/2005,377
02/28/2006,02/28/2006,348
02/28/2007,02/28/2007,350
02/28/2008,02/28/2008,406
02/28/2009,02/28/2009,426
02/28/2010,02/28/2010,358
02/28/2011,02/28/2011,371
02/28/2012,02/28/2012,384
02/28/2013,02/28/2013,395
02/28/2014,02/28/2014,397
02/28/2015,02/28/2015,464
02/28/2016,02/28/2016,382
02/28/2017,02/28/2017,431
02/28/2018,02/28/2018,10
02/29/2004,02/29/2004,389
02/29/2008,02/29/2008,372
02/29/2012,02/29/2012,361
02/29/2016,02/29/2016,388
03/01/2003,03/01/2003,471
03/01/2004,03/01/2004,456
03/01/2005,03/01/2005,444
03/01/2006,03/01/2006,438
03/01/2007,03/01/2007,500
03/01/2008,03/01/2008,517
03/01/2009,03/01/2009,455
03/01/2010,03/01/2010,406
03/01/2011,03/01/2011,452
03/01/2012,03/01/2012,421
03/01/2013,03/01/2013,545
03/01/2014,03/01/2014,444
03/01/2015,03/01/2015,475
03/01/2016,03/01/2016,427
03/01/2017,03/01/2017,533
03/01/2018,03/01/2018,16
03/02/2003,03/02/2003,358
03/02/2004,03/02/2004,475
03/02/2005,03/02/2005,435
03/02/2006,03/02/2006,333
03/02/2007,03/02/2007,390
03/02/2008,03/02/2008,393
03/02/2009,03/02/2009,362
03/02/2010,03/02/2010,346
03/02/2011,03/02/2011,394
03/02/2012,03/02/2012,420
03/02/2013,03/02/2013,413
03/02/2014,03/02/2014,385
03/02/2015,03/02/2015,414
03/02/2016,03/02/2016,404
03/02/2017,03/02/2017,436
03/02/2018,03/02/2018,15
03/03/2003,03/03/2003,393
03/03/2004,03/03/2004,475
03/03/2005,03/03/2005,459
03/03/2006,03/03/2006,370
03/03/2007,03/03/2007,390
03/03/2008,03/03/2008,403
03/03/2009,03/03/2009,406
03/03/2010,03/03/2010,328
03/03/2011,03/03/2011,380
03/03/2012,03/03/2012,395
03/03/2013,03/03/2013,381
03/03/2014,03/03/2014,383
03/03/2015,03/03/2015,459
03/03/2016,03/03/2016,377
03/03/2017,03/03/2017,486
03/03/2018,03/03/2018,11
03/04/2003,03/04/2003,464
03/04/2004,03/04/2004,462
03/04/2005,03/04/2005,384
03/04/2006,03/04/2006,363
03/04/2007,03/04/2007,371
03/04/2008,03/04/2008,395
03/04/2009,03/04/2009,439
03/04/2010,03/04/2010,316
03/04/2011,03/04/2011,378
03/04/2012,03/04/2012,363
03/04/2013,03/04/2013,413
03/04/2014,03/04/2014,417
03/04/2015,03/04/2015,473
03/04/2016,03/04/2016,460
03/04/2017,03/04/2017,431
03/04/2018,03/04/2018,10
03/05/2003,03/05/2003,418
03/05/2004,03/05/2004,493
03/05/2005,03/05/2005,433
03/05/2006,03/05/2006,286
03/05/2007,03/05/2007,396
03/05/2008,03/05/2008,427
03/05/2009,03/05/2009,409
03/05/2010,03/05/2010,391
03/05/2011,03/05/2011,389
03/05/2012,03/05/2012,395
03/05/2013,03/05/2013,407
03/05/2014,03/05/2014,418
03/05/2015,03/05/2015,436
03/05/2016,03/05/2016,351
03/05/2017,03/05/2017,381
03/05/2018,03/05/2018,13
03/06/2003,03/06/2003,423
03/06/2004,03/06/2004,413
03/06/2005,03/06/2005,320
03/06/2006,03/06/2006,379
03/06/2007,03/06/2007,388
03/06/2008,03/06/2008,429
03/06/2009,03/06/2009,449
03/06/2010,03/06/2010,355
03/06/2011,03/06/2011,298
03/06/2012,03/06/2012,315
03/06/2013,03/06/2013,400
03/06/2014,03/06/2014,467
03/06/2015,03/06/2015,478
03/06/2016,03/06/2016,368
03/06/2017,03/06/2017,440
03/06/2018,03/06/2018,22
03/07/2003,03/07/2003,493
03/07/2004,03/07/2004,360
03/07/2005,03/07/2005,349
03/07/2006,03/07/2006,331
03/07/2007,03/07/2007,402
03/07/2008,03/07/2008,433
03/07/2009,03/07/2009,403
03/07/2010,03/07/2010,358
03/07/2011,03/07/2011,346
03/07/2012,03/07/2012,349
03/07/2013,03/07/2013,398
03/07/2014,03/07/2014,458
03/07/2015,03/07/2015,481
03/07/2016,03/07/2016,388
03/07/2017,03/07/2017,413
03/07/2018,03/07/2018,21
03/08/2003,03/08/2003,417
03/08/2004,03/08/2004,392
03/08/2005,03/08/2005,386
03/08/2006,03/08/2006,451
03/08/2007,03/08/2007,374
03/08/2008,03/08/2008,471
03/08/2009,03/08/2009,356
03/08/2010,03/08/2010,353
03/08/2011,03/08/2011,357
03/08/2012,03/08/2012,383
03/08/2013,03/08/2013,484
03/08/2014,03/08/2014,417
03/08/2015,03/08/2015,412
03/08/2016,03/08/2016,369
03/08/2017,03/08/2017,437
03/08/2018,03/08/2018,21
03/09/2003,03/09/2003,359
03/09/2004,03/09/2004,493
03/09/2005,03/09/2005,427
03/09/2006,03/09/2006,433
03/09/2007,03/09/2007,368
03/09/2008,03/09/2008,377
03/09/2009,03/09/2009,396
03/09/2010,03/09/2010,357
03/09/2011,03/09/2011,399
03/09/2012,03/09/2012,423
03/09/2013,03/09/2013,382
03/09/2014,03/09/2014,378
03/09/2015,03/09/2015,463
03/09/2016,03/09/2016,375
03/09/2017,03/09/2017,393
03/09/2018,03/09/2018,22
03/10/2003,03/10/2003,411
03/10/2004,03/10/2004,490
03/10/2005,03/10/2005,436
03/10/2006,03/10/2006,400
03/10/2007,03/10/2007,394
03/10/2008,03/10/2008,462
03/10/2009,03/10/2009,377
03/10/2010,03/10/2010,367
03/10/2011,03/10/2011,313
03/10/2012,03/10/2012,393
03/10/2013,03/10/2013,345
03/10/2014,03/10/2014,401
03/10/2015,03/10/2015,428
03/10/2016,03/10/2016,348
03/10/2017,03/10/2017,462
03/10/2018,03/10/2018,35
03/11/2003,03/11/2003,461
03/11/2004,03/11/2004,458
03/11/2005,03/11/2005,375
03/11/2006,03/11/2006,343
03/11/2007,03/11/2007,338
03/11/2008,03/11/2008,398
03/11/2009,03/11/2009,411
03/11/2010,03/11/2010,342
03/11/2011,03/11/2011,422
03/11/2012,03/11/2012,392
03/11/2013,03/11/2013,382
03/11/2014,03/11/2014,402
03/11/2015,03/11/2015,436
03/11/2016,03/11/2016,386
03/11/2017,03/11/2017,423
03/11/2018,03/11/2018,27
03/12/2003,03/12/2003,505
03/12/2004,03/12/2004,473
03/12/2005,03/12/2005,397
03/12/2006,03/12/2006,293
03/12/2007,03/12/2007,407
03/12/2008,03/12/2008,418
03/12/2009,03/12/2009,446
03/12/2010,03/12/2010,337
03/12/2011,03/12/2011,389
03/12/2012,03/12/2012,348
03/12/2013,03/12/2013,382
03/12/2014,03/12/2014,419
03/12/2015,03/12/2015,428
03/12/2016,03/12/2016,364
03/12/2017,03/12/2017,403
03/12/2018,03/12/2018,51
03/13/2003,03/13/2003,427
03/13/2004,03/13/2004,378
03/13/2005,03/13/2005,367
03/13/2006,03/13/2006,357
03/13/2007,03/13/2007,403
03/13/2008,03/13/2008,414
03/13/2009,03/13/2009,425
03/13/2010,03/13/2010,390
03/13/2011,03/13/2011,349
03/13/2012,03/13/2012,337
03/13/2013,03/13/2013,483
03/13/2014,03/13/2014,383
03/13/2015,03/13/2015,506
03/13/2016,03/13/2016,309
03/13/2017,03/13/2017,421
03/13/2018,03/13/2018,66
03/14/2003,03/14/2003,503
03/14/2004,03/14/2004,297
03/14/2005,03/14/2005,327
03/14/2006,03/14/2006,352
03/14/2007,03/14/2007,389
03/14/2008,03/14/2008,390
03/14/2009,03/14/2009,345
03/14/2010,03/14/2010,367
03/14/2011,03/14/2011,328
03/14/2012,03/14/2012,316
03/14/2013,03/14/2013,393
03/14/2014,03/14/2014,487
03/14/2015,03/14/2015,460
03/14/2016,03/14/2016,415
03/14/2017,03/14/2017,436
03/14/2018,03/14/2018,133
03/15/2003,03/15/2003,418
03/15/2004,03/15/2004,349
03/15/2005,03/15/2005,430
03/15/2006,03/15/2006,414
03/15/2007,03/15/2007,433
03/15/2008,03/15/2008,400
03/15/2009,03/15/2009,363
03/15/2010,03/15/2010,381
03/15/2011,03/15/2011,384
03/15/2012,03/15/2012,356
03/15/2013,03/15/2013,461
03/15/2014,03/15/2014,441
03/15/2015,03/15/2015,482
03/15/2016,03/15/2016,403
03/15/2017,03/15/2017,464
03/16/2003,03/16/2003,363
03/16/2004,03/16/2004,496
03/16/2005,03/16/2005,399
03/16/2006,03/16/2006,388
03/16/2007,03/16/2007,397
03/16/2008,03/16/2008,364
03/16/2009,03/16/2009,408
03/16/2010,03/16/2010,366
03/16/2011,03/16/2011,395
03/16/2012,03/16/2012,381
03/16/2013,03/16/2013,412
03/16/2014,03/16/2014,355
03/16/2015,03/16/2015,430
03/16/2016,03/16/2016,418
03/16/2017,03/16/2017,424
03/17/2003,03/17/2003,411
03/17/2004,03/17/2004,437
03/17/2005,03/17/2005,413
03/17/2006,03/17/2006,452
03/17/2007,03/17/2007,364
03/17/2008,03/17/2008,455
03/17/2009,03/17/2009,414
03/17/2010,03/17/2010,428
03/17/2011,03/17/2011,360
03/17/2012,03/17/2012,396
03/17/2013,03/17/2013,428
03/17/2014,03/17/2014,406
03/17/2015,03/17/2015,446
03/17/2016,03/17/2016,415
03/17/2017,03/17/2017,540
03/18/2003,03/18/2003,430
03/18/2004,03/18/2004,408
03/18/2005,03/18/2005,406
03/18/2006,03/18/2006,373
03/18/2007,03/18/2007,352
03/18/2008,03/18/2008,421
03/18/2009,03/18/2009,457
03/18/2010,03/18/2010,378
03/18/2011,03/18/2011,388
03/18/2012,03/18/2012,366
03/18/2013,03/18/2013,378
03/18/2014,03/18/2014,386
03/18/2015,03/18/2015,402
03/18/2016,03/18/2016,461
03/18/2017,03/18/2017,436
03/19/2003,03/19/2003,339
03/19/2004,03/19/2004,416
03/19/2005,03/19/2005,360
03/19/2006,03/19/2006,364
03/19/2007,03/19/2007,377
03/19/2008,03/19/2008,397
03/19/2009,03/19/2009,392
03/19/2010,03/19/2010,375
03/19/2011,03/19/2011,400
03/19/2012,03/19/2012,367
03/19/2013,03/19/2013,412
03/19/2014,03/19/2014,513
03/19/2015,03/19/2015,446
03/19/2016,03/19/2016,399
03/19/2017,03/19/2017,365
03/20/2003,03/20/2003,460
03/20/2004,03/20/2004,408
03/20/2005,03/20/2005,370
03/20/2006,03/20/2006,359
03/20/2007,03/20/2007,359
03/20/2008,03/20/2008,351
03/20/2009,03/20/2009,490
03/20/2010,03/20/2010,335
03/20/2011,03/20/2011,339
03/20/2012,03/20/2012,376
03/20/2013,03/20/2013,408
03/20/2014,03/20/2014,393
03/20/2015,03/20/2015,479
03/20/2016,03/20/2016,360
03/20/2017,03/20/2017,381
03/21/2003,03/21/2003,402
03/21/2004,03/21/2004,372
03/21/2005,03/21/2005,396
03/21/2006,03/21/2006,431
03/21/2007,03/21/2007,361
03/21/2008,03/21/2008,344
03/21/2009,03/21/2009,389
03/21/2010,03/21/2010,318
03/21/2011,03/21/2011,312
03/21/2012,03/21/2012,409
03/21/2013,03/21/2013,461
03/21/2014,03/21/2014,412
03/21/2015,03/21/2015,411
03/21/2016,03/21/2016,433
03/21/2017,03/21/2017,407
03/22/2003,03/22/2003,382
03/22/2004,03/22/2004,387
03/22/2005,03/22/2005,381
03/22/2006,03/22/2006,404
03/22/2007,03/22/2007,336
03/22/2008,03/22/2008,367
03/22/2009,03/22/2009,369
03/22/2010,03/22/2010,318
03/22/2011,03/22/2011,353
03/22/2012,03/22/2012,389
03/22/2013,03/22/2013,465
03/22/2014,03/22/2014,423
03/22/2015,03/22/2015,430
03/22/2016,03/22/2016,435
03/22/2017,03/22/2017,479
03/23/2003,03/23/2003,323
03/23/2004,03/23/2004,455
03/23/2005,03/23/2005,437
03/23/2006,03/23/2006,403
03/23/2007,03/23/2007,369
03/23/2008,03/23/2008,366
03/23/2009,03/23/2009,397
03/23/2010,03/23/2010,356
03/23/2011,03/23/2011,354
03/23/2012,03/23/2012,440
03/23/2013,03/23/2013,462
03/23/2014,03/23/2014,402
03/23/2015,03/23/2015,390
03/23/2016,03/23/2016,412
03/23/2017,03/23/2017,419
03/24/2003,03/24/2003,383
03/24/2004,03/24/2004,447
03/24/2005,03/24/2005,399
03/24/2006,03/24/2006,427
03/24/2007,03/24/2007,349
03/24/2008,03/24/2008,342
03/24/2009,03/24/2009,437
03/24/2010,03/24/2010,427
03/24/2011,03/24/2011,356
03/24/2012,03/24/2012,348
03/24/2013,03/24/2013,414
03/24/2014,03/24/2014,437
03/24/2015,03/24/2015,438
03/24/2016,03/24/2016,358
03/24/2017,03/24/2017,457
03/25/2003,03/25/2003,410
03/25/2004,03/25/2004,388
03/25/2005,03/25/2005,402
03/25/2006,03/25/2006,399
03/25/2007,03/25/2007,398
03/25/2008,03/25/2008,431
03/25/2009,03/25/2009,422
03/25/2010,03/25/2010,372
03/25/2011,03/25/2011,411
03/25/2012,03/25/2012,362
03/25/2013,03/25/2013,403
03/25/2014,03/25/2014,410
03/25/2015,03/25/2015,526
03/25/2016,03/25/2016,423
03/25/2017,03/25/2017,435
03/26/2003,03/26/2003,441
03/26/2004,03/26/2004,417
03/26/2005,03/26/2005,375
03/26/2006,03/26/2006,365
03/26/2007,03/26/2007,384
03/26/2008,03/26/2008,449
03/26/2009,03/26/2009,395
03/26/2010,03/26/2010,369
03/26/2011,03/26/2011,392
03/26/2012,03/26/2012,350
03/26/2013,03/26/2013,398
03/26/2014,03/26/2014,366
03/26/2015,03/26/2015,436
03/26/2016,03/26/2016,450
03/26/2017,03/26/2017,454
03/27/2003,03/27/2003,469
03/27/2004,03/27/2004,401
03/27/2005,03/27/2005,321
03/27/2006,03/27/2006,333
03/27/2007,03/27/2007,380
03/27/2008,03/27/2008,369
03/27/2009,03/27/2009,370
03/27/2010,03/27/2010,339
03/27/2011,03/27/2011,318
03/27/2012,03/27/2012,303
03/27/2013,03/27/2013,428
03/27/2014,03/27/2014,494
03/27/2015,03/27/2015,491
03/27/2016,03/27/2016,387
03/27/2017,03/27/2017,476
03/28/2003,03/28/2003,449
03/28/2004,03/28/2004,405
03/28/2005,03/28/2005,383
03/28/2006,03/28/2006,354
03/28/2007,03/28/2007,391
03/28/2008,03/28/2008,392
03/28/2009,03/28/2009,394
03/28/2010,03/28/2010,303
03/28/2011,03/28/2011,325
03/28/2012,03/28/2012,318
03/28/2013,03/28/2013,401
03/28/2014,03/28/2014,498
03/28/2015,03/28/2015,508
03/28/2016,03/28/2016,392
03/28/2017,03/28/2017,409
03/29/2003,03/29/2003,434
03/29/2004,03/29/2004,386
03/29/2005,03/29/2005,404
03/29/2006,03/29/2006,367
03/29/2007,03/29/2007,388
03/29/2008,03/29/2008,396
03/29/2009,03/29/2009,450
03/29/2010,03/29/2010,345
03/29/2011,03/29/2011,349
03/29/2012,03/29/2012,328
03/29/2013,03/29/2013,467
03/29/2014,03/29/2014,402
03/29/2015,03/29/2015,416
03/29/2016,03/29/2016,436
03/29/2017,03/29/2017,494
03/30/2003,03/30/2003,396
03/30/2004,03/30/2004,432
03/30/2005,03/30/2005,421
03/30/2006,03/30/2006,347
03/30/2007,03/30/2007,386
03/30/2008,03/30/2008,326
03/30/2009,03/30/2009,438
03/30/2010,03/30/2010,337
03/30/2011,03/30/2011,406
03/30/2012,03/30/2012,372
03/30/2013,03/30/2013,361
03/30/2014,03/30/2014,338
03/30/2015,03/30/2015,438
03/30/2016,03/30/2016,422
03/30/2017,03/30/2017,499
03/31/2003,03/31/2003,385
03/31/2004,03/31/2004,424
03/31/2005,03/31/2005,353
03/31/2006,03/31/2006,367
03/31/2007,03/31/2007,372
03/31/2008,03/31/2008,338
03/31/2009,03/31/2009,399
03/31/2010,03/31/2010,371
03/31/2011,03/31/2011,361
03/31/2012,03/31/2012,346
03/31/2013,03/31/2013,371
03/31/2014,03/31/2014,352
03/31/2015,03/31/2015,411
03/31/2016,03/31/2016,435
03/31/2017,03/31/2017,446
04/01/2003,04/01/2003,524
04/01/2004,04/01/2004,563
04/01/2005,04/01/2005,440
04/01/2006,04/01/2006,425
04/01/2007,04/01/2007,454
04/01/2008,04/01/2008,469
04/01/2009,04/01/2009,501
04/01/2010,04/01/2010,444
04/01/2011,04/01/2011,513
04/01/2012,04/01/2012,393
04/01/2013,04/01/2013,446
04/01/2014,04/01/2014,423
04/01/2015,04/01/2015,454
04/01/2016,04/01/2016,530
04/01/2017,04/01/2017,488
04/02/2003,04/02/2003,444
04/02/2004,04/02/2004,507
04/02/2005,04/02/2005,379
04/02/2006,04/02/2006,363
04/02/2007,04/02/2007,328
04/02/2008,04/02/2008,309
04/02/2009,04/02/2009,395
04/02/2010,04/02/2010,368
04/02/2011,04/02/2011,395
04/02/2012,04/02/2012,345
04/02/2013,04/02/2013,368
04/02/2014,04/02/2014,390
04/02/2015,04/02/2015,446
04/02/2016,04/02/2016,436
04/02/2017,04/02/2017,374
04/03/2003,04/03/2003,440
04/03/2004,04/03/2004,394
04/03/2005,04/03/2005,326
04/03/2006,04/03/2006,370
04/03/2007,04/03/2007,387
04/03/2008,04/03/2008,320
04/03/2009,04/03/2009,431
04/03/2010,04/03/2010,342
04/03/2011,04/03/2011,350
04/03/2012,04/03/2012,346
04/03/2013,04/03/2013,326
04/03/2014,04/03/2014,443
04/03/2015,04/03/2015,462
04/03/2016,04/03/2016,384
04/03/2017,04/03/2017,457
04/04/2003,04/04/2003,487
04/04/2004,04/04/2004,391
04/04/2005,04/04/2005,405
04/04/2006,04/04/2006,416
04/04/2007,04/04/2007,359
04/04/2008,04/04/2008,396
04/04/2009,04/04/2009,450
04/04/2010,04/04/2010,232
04/04/2011,04/04/2011,343
04/04/2012,04/04/2012,441
04/04/2013,04/04/2013,357
04/04/2014,04/04/2014,409
04/04/2015,04/04/2015,438
04/04/2016,04/04/2016,459
04/04/2017,04/04/2017,422
04/05/2003,04/05/2003,413
04/05/2004,04/05/2004,418
04/05/2005,04/05/2005,417
04/05/2006,04/05/2006,417
04/05/2007,04/05/2007,296
04/05/2008,04/05/2008,414
04/05/2009,04/05/2009,380
04/05/2010,04/05/2010,351
04/05/2011,04/05/2011,342
04/05/2012,04/05/2012,347
04/05/2013,04/05/2013,495
04/05/2014,04/05/2014,426
04/05/2015,04/05/2015,384
04/05/2016,04/05/2016,390
04/05/2017,04/05/2017,438
04/06/2003,04/06/2003,343
04/06/2004,04/06/2004,402
04/06/2005,04/06/2005,456
04/06/2006,04/06/2006,416
04/06/2007,04/06/2007,302
04/06/2008,04/06/2008,354
04/06/2009,04/06/2009,418
04/06/2010,04/06/2010,351
04/06/2011,04/06/2011,397
04/06/2012,04/06/2012,361
04/06/2013,04/06/2013,456
04/06/2014,04/06/2014,409
04/06/2015,04/06/2015,428
04/06/2016,04/06/2016,422
04/06/2017,04/06/2017,401
04/07/2003,04/07/2003,342
04/07/2004,04/07/2004,409
04/07/2005,04/07/2005,416
04/07/2006,04/07/2006,430
04/07/2007,04/07/2007,393
04/07/2008,04/07/2008,399
04/07/2009,04/07/2009,361
04/07/2010,04/07/2010,363
04/07/2011,04/07/2011,374
04/07/2012,04/07/2012,364
04/07/2013,04/07/2013,402
04/07/2014,04/07/2014,422
04/07/2015,04/07/2015,392
04/07/2016,04/07/2016,435
04/07/2017,04/07/2017,439
04/08/2003,04/08/2003,451
04/08/2004,04/08/2004,429
04/08/2005,04/08/2005,390
04/08/2006,04/08/2006,371
04/08/2007,04/08/2007,292
04/08/2008,04/08/2008,372
04/08/2009,04/08/2009,449
04/08/2010,04/08/2010,379
04/08/2011,04/08/2011,439
04/08/2012,04/08/2012,327
04/08/2013,04/08/2013,351
04/08/2014,04/08/2014,402
04/08/2015,04/08/2015,411
04/08/2016,04/08/2016,417
04/08/2017,04/08/2017,418
04/09/2003,04/09/2003,484
04/09/2004,04/09/2004,443
04/09/2005,04/09/2005,414
04/09/2006,04/09/2006,352
04/09/2007,04/09/2007,406
04/09/2008,04/09/2008,357
04/09/2009,04/09/2009,382
04/09/2010,04/09/2010,354
04/09/2011,04/09/2011,394
04/09/2012,04/09/2012,338
04/09/2013,04/09/2013,434
04/09/2014,04/09/2014,391
04/09/2015,04/09/2015,423
04/09/2016,04/09/2016,400
04/09/2017,04/09/2017,335
04/10/2003,04/10/2003,476
04/10/2004,04/10/2004,371
04/10/2005,04/10/2005,313
04/10/2006,04/10/2006,366
04/10/2007,04/10/2007,405
04/10/2008,04/10/2008,393
04/10/2009,04/10/2009,364
04/10/2010,04/10/2010,365
04/10/2011,04/10/2011,319
04/10/2012,04/10/2012,348
04/10/2013,04/10/2013,391
04/10/2014,04/10/2014,453
04/10/2015,04/10/2015,455
04/10/2016,04/10/2016,338
04/10/2017,04/10/2017,477
04/11/2003,04/11/2003,533
04/11/2004,04/11/2004,331
04/11/2005,04/11/2005,434
04/11/2006,04/11/2006,363
04/11/2007,04/11/2007,376
04/11/2008,04/11/2008,418
04/11/2009,04/11/2009,403
04/11/2010,04/11/2010,252
04/11/2011,04/11/2011,371
04/11/2012,04/11/2012,354
04/11/2013,04/11/2013,449
04/11/2014,04/11/2014,447
04/11/2015,04/11/2015,466
04/11/2016,04/11/2016,418
04/11/2017,04/11/2017,444
04/12/2003,04/12/2003,363
04/12/2004,04/12/2004,407
04/12/2005,04/12/2005,415
04/12/2006,04/12/2006,346
04/12/2007,04/12/2007,376
04/12/2008,04/12/2008,399
04/12/2009,04/12/2009,363
04/12/2010,04/12/2010,348
04/12/2011,04/12/2011,334
04/12/2012,04/12/2012,379
04/12/2013,04/12/2013,442
04/12/2014,04/12/2014,481
04/12/2015,04/12/2015,405
04/12/2016,04/12/2016,410
04/12/2017,04/12/2017,432
04/13/2003,04/13/2003,389
04/13/2004,04/13/2004,370
04/13/2005,04/13/2005,439
04/13/2006,04/13/2006,357
04/13/2007,04/13/2007,355
04/13/2008,04/13/2008,368
04/13/2009,04/13/2009,361
04/13/2010,04/13/2010,357
04/13/2011,04/13/2011,386
04/13/2012,04/13/2012,415
04/13/2013,04/13/2013,417
04/13/2014,04/13/2014,353
04/13/2015,04/13/2015,421
04/13/2016,04/13/2016,405
04/13/2017,04/13/2017,420
04/14/2003,04/14/2003,459
04/14/2004,04/14/2004,418
04/14/2005,04/14/2005,407
04/14/2006,04/14/2006,372
04/14/2007,04/14/2007,363
04/14/2008,04/14/2008,362
04/14/2009,04/14/2009,426
04/14/2010,04/14/2010,343
04/14/2011,04/14/2011,384
04/14/2012,04/14/2012,360
04/14/2013,04/14/2013,382
04/14/2014,04/14/2014,367
04/14/2015,04/14/2015,383
04/14/2016,04/14/2016,371
04/14/2017,04/14/2017,497
04/15/2003,04/15/2003,462
04/15/2004,04/15/2004,412
04/15/2005,04/15/2005,441
04/15/2006,04/15/2006,405
04/15/2007,04/15/2007,351
04/15/2008,04/15/2008,371
04/15/2009,04/15/2009,370
04/15/2010,04/15/2010,377
04/15/2011,04/15/2011,425
04/15/2012,04/15/2012,364
04/15/2013,04/15/2013,422
04/15/2014,04/15/2014,363
04/15/2015,04/15/2015,485
04/15/2016,04/15/2016,445
04/15/2017,04/15/2017,466
04/16/2003,04/16/2003,373
04/16/2004,04/16/2004,462
04/16/2005,04/16/2005,343
04/16/2006,04/16/2006,322
04/16/2007,04/16/2007,375
04/16/2008,04/16/2008,401
04/16/2009,04/16/2009,406
04/16/2010,04/16/2010,399
04/16/2011,04/16/2011,421
04/16/2012,04/16/2012,367
04/16/2013,04/16/2013,392
04/16/2014,04/16/2014,470
04/16/2015,04/16/2015,423
04/16/2016,04/16/2016,390
04/16/2017,04/16/2017,389
04/17/2003,04/17/2003,406
04/17/2004,04/17/2004,500
04/17/2005,04/17/2005,320
04/17/2006,04/17/2006,354
04/17/2007,04/17/2007,357
04/17/2008,04/17/2008,335
04/17/2009,04/17/2009,391
04/17/2010,04/17/2010,343
04/17/2011,04/17/2011,324
04/17/2012,04/17/2012,392
04/17/2013,04/17/2013,432
04/17/2014,04/17/2014,402
04/17/2015,04/17/2015,473
04/17/2016,04/17/2016,374
04/17/2017,04/17/2017,429
04/18/2003,04/18/2003,442
04/18/2004,04/18/2004,389
04/18/2005,04/18/2005,393
04/18/2006,04/18/2006,411
04/18/2007,04/18/2007,402
04/18/2008,04/18/2008,386
04/18/2009,04/18/2009,419
04/18/2010,04/18/2010,274
04/18/2011,04/18/2011,315
04/18/2012,04/18/2012,369
04/18/2013,04/18/2013,396
04/18/2014,04/18/2014,444
04/18/2015,04/18/2015,466
04/18/2016,04/18/2016,363
04/18/2017,04/18/2017,422
04/19/2003,04/19/2003,366
04/19/2004,04/19/2004,413
04/19/2005,04/19/2005,362
04/19/2006,04/19/2006,418
04/19/2007,04/19/2007,417
04/19/2008,04/19/2008,411
04/19/2009,04/19/2009,381
04/19/2010,04/19/2010,343
04/19/2011,04/19/2011,397
04/19/2012,04/19/2012,392
04/19/2013,04/19/2013,453
04/19/2014,04/19/2014,461
04/19/2015,04/19/2015,462
04/19/2016,04/19/2016,406
04/19/2017,04/19/2017,392
04/20/2003,04/20/2003,369
04/20/2004,04/20/2004,401
04/20/2005,04/20/2005,394
04/20/2006,04/20/2006,398
04/20/2007,04/20/2007,400
04/20/2008,04/20/2008,430
04/20/2009,04/20/2009,430
04/20/2010,04/20/2010,342
04/20/2011,04/20/2011,394
04/20/2012,04/20/2012,420
04/20/2013,04/20/2013,465
04/20/2014,04/20/2014,365
04/20/2015,04/20/2015,409
04/20/2016,04/20/2016,482
04/20/2017,04/20/2017,457
04/21/2003,04/21/2003,385
04/21/2004,04/21/2004,368
04/21/2005,04/21/2005,426
04/21/2006,04/21/2006,401
04/21/2007,04/21/2007,343
04/21/2008,04/21/2008,366
04/21/2009,04/21/2009,421
04/21/2010,04/21/2010,373
04/21/2011,04/21/2011,356
04/21/2012,04/21/2012,419
04/21/2013,04/21/2013,407
04/21/2014,04/21/2014,365
04/21/2015,04/21/2015,399
04/21/2016,04/21/2016,410
04/21/2017,04/21/2017,438
04/22/2003,04/22/2003,423
04/22/2004,04/22/2004,364
04/22/2005,04/22/2005,443
04/22/2006,04/22/2006,399
04/22/2007,04/22/2007,366
